time,open,high,low,close,Volume,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-08-12T21:12:00-05:00,4575.39,4578.47,4573.14,4577.47,110.432025,0,4575.39,4578.47,4573.14,4577.47,60.02320121199811,56.19685156518652,16.069233973825824,15.424714130428075,-7.735729003405241,-13.091416466211594
2025-08-12T21:14:00-05:00,4577.47,4578.56,4574.47,4578.45,111.88801822,0,4577.47,4578.56,4574.47,4578.45,63.25143349299026,60.710161385329364,15.125822088871974,14.783638646079423,-7.968884788935443,-10.864180592969596
2025-08-12T21:16:00-05:00,4578.55,4586.29,4577.91,4585.4,221.33790333,0,4578.55,4586.29,4577.91,4585.4,78.66764684806854,74.26468935656388,18.00368914828839,16.643033200188864,10.200105760245002,3.776534221229939
2025-08-12T21:18:00-05:00,4585.4,4589.12,4584.63,4588.71,257.54499067,0,4585.4,4589.12,4584.63,4588.71,87.43889197942113,87.08913757143058,19.80517542062207,18.89391878750522,17.99315830979204,16.548785646769513
2025-08-12T21:20:00-05:00,4588.63,4588.63,4582.58,4583.41,104.20186714,0,4588.63,4588.63,4582.58,4583.41,78.92991373199578,86.72799853163659,16.294686513339553,17.433162068671972,-0.40410172420708673,9.092936379905014
2025-08-12T21:22:00-05:00,4583.4,4587.32,4581.8,4586.48,159.59360728,0,4583.4,4587.32,4581.8,4586.48,77.55360099942186,85.06979599440143,17.630316604261523,17.71792274783635,1.9359793452333303,6.940480075677156
2025-08-12T21:24:00-05:00,4586.26,4594.62,4585.77,4592.9,308.87781926,0,4586.26,4594.62,4585.77,4592.9,85.80594136394562,89.65256229884379,22.038061093577603,21.041846848722248,21.39377032078561,19.644171558437314
2025-08-12T21:26:00-05:00,4593.04,4600.87,4592.05,4599.99,273.74810236,0,4593.04,4600.87,4592.05,4599.99,93.48105315824446,96.7493137994014,26.975226676109585,26.178497803131883,32.91071302843156,33.59274078232227
2025-08-12T21:28:00-05:00,4600.59,4606.49,4600.59,4603.34,224.63949868,0,4600.59,4606.49,4600.59,4603.34,91.28904006643779,97.8514039350205,32.203728174451754,32.342436899877654,31.742196584415357,38.815353464265264
2025-08-12T21:30:00-05:00,4603.33,4611.26,4601.67,4605.12,522.13549029,1,4603.33,4611.26,4601.67,4605.12,81.87575709914738,90.8315280595573,35.02017306921938,37.13931412105776,24.08741735541081,34.9907082276789
2025-08-12T21:32:00-05:00,4604.96,4606.94,4598.56,4598.56,326.66348385,0,4604.96,4606.94,4598.56,4598.56,63.96735176641569,73.78515005826983,29.900756523204453,35.37804840697766,3.804766921671529,17.523511748569142
2025-08-12T21:34:00-05:00,4598.51,4599.78,4594.71,4599.36,954.46238754,3,4598.51,4599.78,4594.71,4599.36,60.52240339263925,62.71296619287075,28.67999365674285,33.262653725462954,0.7389875867718777,6.228148214948096
2025-08-12T21:36:00-05:00,4599.61,4606.6,4599.36,4605.08,483.60543837,0,4599.61,4606.6,4599.36,4605.08,67.21364776709146,62.1748611617277,33.151553701019004,35.10419024309116,11.492774662477538,8.20841141800352
2025-08-12T21:38:00-05:00,4604.72,4607.5,4603.11,4607.29,228.98772388,0,4604.72,4607.5,4603.11,4607.29,71.42822510944507,65.17216424162342,34.876649043198235,36.85973812237677,16.45507554030262,12.611843121121055
